property_id,general_location,acreage
Map 58M Group B Parcel 33,W Baddour @ Hartmann,47
Map 58G Group A Parcel 2,Hartmann Drive,24
Map 58 Parcel 28,Hartmann Drive,59
Map 45 Parcel 36,Hartmann & Coles Ferry,356
Map 45 Parcel 18,Coles Ferry Pike,56
Map 45 Parcel 12,Coles Ferry Pike,105
Map 45 Parcel 17,Coles Ferry Pike,93
Map 46 Parcel 21.02,Maple Hill Road,164
Map 35 Parcel 27,Oriole Drive,97
Map 35 Parcel 8,Coles Ferry Pike,223
Map 35 Parcel 19.04,Coles/Berea/Manners,187
Map 35 Parcel 9.03,Coles Ferry/Berea Church,49
Map 35 Parcel 12.13,Berea Church,70
Map 25 Parcel 33,Berea Church/Mann Road,66
Map 25 Parcel 41,Mann Road,235